"id","title","component"
"=HYPERLINK(""https://hsdes.intel.com/resource/22011673320"",""22011673320"")","UEFI spec 2.7 compliance - Driver Supported EFI Version Protocol","sw.pre-boot_efi_idpf_base"
"=HYPERLINK(""https://hsdes.intel.com/resource/22011673321"",""22011673321"")","DMA operation compliance with UEFI specification","sw.pre-boot_efi_idpf_base"
"=HYPERLINK(""https://hsdes.intel.com/resource/22011673325"",""22011673325"")","Add ""Network Media Type"" to Adapter Information Protocol","sw.pre-boot_efi_idpf_base"
"=HYPERLINK(""https://hsdes.intel.com/resource/22013849659"",""22013849659"")","Power State Coordination Interface (PSCI) functions - ACC CPU functions","sw.smartnic_acc_atf"
"=HYPERLINK(""https://hsdes.intel.com/resource/22013849948"",""22013849948"")","ACC ATF Documentation","sw.ie_other_readmes-ipu"
"=HYPERLINK(""https://hsdes.intel.com/resource/22013891210"",""22013891210"")","ISET - Command Line Interface","sw.tools_ipu_system_and_ethernet_toolkit"
"=HYPERLINK(""https://hsdes.intel.com/resource/22014369647"",""22014369647"")","License File","sw.smartnic_acc_atf"
"=HYPERLINK(""https://hsdes.intel.com/resource/22014531962"",""22014531962"")","Secure Monitor Call Calling Convention","sw.smartnic_acc_atf"
"=HYPERLINK(""https://hsdes.intel.com/resource/22014584204"",""22014584204"")","Secure Partition Initialization","sw.smartnic_acc_atf"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015101461"",""22015101461"")","ISET - Link Configuration","sw.tools_ipu_system_and_ethernet_toolkit"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015142192"",""22015142192"")","Power State Coordination Interface (PSCI) functions - Resets","sw.smartnic_acc_atf"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015142240"",""22015142240"")","Power State Coordination Interface (PSCI) functions - standard features","sw.smartnic_acc_atf"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015639006"",""22015639006"")","ISET - Port Configuration","sw.tools_ipu_system_and_ethernet_toolkit"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015639022"",""22015639022"")","ISET - Loopback Support","sw.tools_ipu_system_and_ethernet_toolkit"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015639042"",""22015639042"")","ISET - Link Manager Flows","sw.tools_ipu_system_and_ethernet_toolkit"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015639272"",""22015639272"")","ISET - PHY Subsystem Flows","sw.tools_ipu_system_and_ethernet_toolkit"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015639273"",""22015639273"")","ISET - Documentation","sw.ie_tools_docs-ipu"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015639490"",""22015639490"")","ISET - UART Support","sw.tools_ipu_system_and_ethernet_toolkit"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015704179"",""22015704179"")","IPU Fuse Configuration Utility - write ECM EFuse","sw.tools_fuse_configuration"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015801268"",""22015801268"")","ISET - Ethernet Link Control","sw.tools_ipu_system_and_ethernet_toolkit"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015801269"",""22015801269"")","ISET - Ethernet Link Status","sw.tools_ipu_system_and_ethernet_toolkit"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015801271"",""22015801271"")","ISET - Ethernet TX Control and Status","sw.tools_ipu_system_and_ethernet_toolkit"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015802398"",""22015802398"")","ISET - Temperature Sensors","sw.tools_ipu_system_and_ethernet_toolkit"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015826007"",""22015826007"")","Error Reporting - FIPS Self Test Failure","sw.smartnic_linux_LCE"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015832565"",""22015832565"")","ISET - IMC Firmware Version Information","sw.tools_ipu_system_and_ethernet_toolkit"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015832566"",""22015832566"")","ISET - Version Information","sw.tools_ipu_system_and_ethernet_toolkit"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015832568"",""22015832568"")","ISET - CLI Component Logging","sw.tools_ipu_system_and_ethernet_toolkit"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015858598"",""22015858598"")","Init Package: Hash Configuration","sw.smartnic_fxp_cxp_package"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015885579"",""22015885579"")","ISET - File Logging","sw.tools_ipu_system_and_ethernet_toolkit"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015919837"",""22015919837"")","Init Package: FXP and CXP Metadata Configuration","sw.smartnic_fxp_cxp_package"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015919912"",""22015919912"")","Init Package: Filename","sw.smartnic_fxp_cxp_package"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015957860"",""22015957860"")","Error Reporting - Fatal Error Detection","sw.smartnic_linux_LCE"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015962366"",""22015962366"")","ISET - IPU SDK Layout","sw.media_ipu_sdk"
"=HYPERLINK(""https://hsdes.intel.com/resource/22015962485"",""22015962485"")","DPDK Crypto Dev Support","sw.smartnic_linux_LCE"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016015551"",""22016015551"")","Zeroization","sw.smartnic_linux_LCE"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016021716"",""22016021716"")","ISET - Link Control Technology Store Support","sw.tools_ipu_system_and_ethernet_toolkit"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016031081"",""22016031081"")","ISET - Ethernet RX Control and Status","sw.tools_ipu_system_and_ethernet_toolkit"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016038361"",""22016038361"")","ISET - Document Phase 2 Features and Limitations","sw.ie_tools_docs-ipu"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016048696"",""22016048696"")","Init Package:  iSCSI Packet Detection","sw.smartnic_fxp_cxp_package"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016072528"",""22016072528"")","IPU Documentation - Release Notes","sw.ie_release_notes-ipu"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016072529"",""22016072529"")","IPU Documentation - IPU Feature Enablement","sw.ie_user_guide-ipu"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016072530"",""22016072530"")","IPU Documentation - Tools","sw.ie_tools_docs-ipu"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016079018"",""22016079018"")","IPU Documentation - Compiled Binaries","sw.ie_other_readmes-ipu"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016079157"",""22016079157"")","LCE Performance Expectations - with LAN traffic","sw.smartnic_linux_LCE"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016105642"",""22016105642"")","MDEV Support","sw.smartnic_linux_LCE"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016106223"",""22016106223"")","Report Firmware Version","sw.smartnic_linux_LCE"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016106234"",""22016106234"")","Firmware Download Failure","sw.smartnic_linux_LCE"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016283641"",""22016283641"")","Runtime discovery of PTYPEs","sw.smartnic_linux_idpf"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016296393"",""22016296393"")","ISET - Port-to-MAC Mapping","sw.tools_ipu_system_and_ethernet_toolkit"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016296394"",""22016296394"")","ISET - Display Board ID","sw.tools_ipu_system_and_ethernet_toolkit"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016341381"",""22016341381"")","MDEV Support - Exceed Ring Pairs on Device","sw.smartnic_linux_LCE"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016342519"",""22016342519"")","AES GCM Support","sw.smartnic_linux_LCE"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016369568"",""22016369568"")","Document Clara Peak","sw.ie_user_guide-ipu"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016374384"",""22016374384"")","LCE readme","sw.ie_other_readmes-ipu"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016468736"",""22016468736"")","Protocol ID and PTYPE Metadata","sw.apps_configurable_pipeline_tool"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016468748"",""22016468748"")","Protocol ID and PTYPE Metadata","sw.apps_p4_compiler"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016481636"",""22016481636"")","LCE Performance Expectations - without LAN traffic","sw.smartnic_linux_LCE"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016490848"",""22016490848"")","Init Package: CXP Packet Types","sw.smartnic_fxp_cxp_package"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016502994"",""22016502994"")","ISET - IMC rootfs Layout","sw.media_ipu_sdk"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016503460"",""22016503460"")","IPU Update - IPU SDK Layout","sw.media_ipu_sdk"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016503463"",""22016503463"")","IPU Fuse Configuration Utility - IPU SDK Layout","sw.media_ipu_sdk"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016540712"",""22016540712"")","Document Clara Peak","sw.ie_release_notes-ipu"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016568982"",""22016568982"")","IPU Documentation - IPU ""How To"" Guide","sw.ie_user_guide-ipu"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016569434"",""22016569434"")","IPU Documentation - Getting Started Guide","sw.ie_user_guide-ipu"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016623403"",""22016623403"")","LAN ACC Performance Expectations - 2x100G","sw.smartnic_linux_idpf"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016632354"",""22016632354"")","Init Package:  CXP Parser - Protocol Headers","sw.smartnic_fxp_cxp_package"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016632355"",""22016632355"")","Init Package:  FXP Parser - Protocol Headers","sw.smartnic_fxp_cxp_package"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016632356"",""22016632356"")","Init Package:  Manageability","sw.smartnic_fxp_cxp_package"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016632357"",""22016632357"")","Init Package:  Default Configuration","sw.smartnic_fxp_cxp_package"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016632358"",""22016632358"")","Init Package:  VLAN Header Reporting","sw.smartnic_fxp_cxp_package"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016632360"",""22016632360"")","Init Package:  FXP Parser - PTYPES","sw.smartnic_fxp_cxp_package"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016632361"",""22016632361"")","Init Package:  FXP Parser - Error PTYPE","sw.smartnic_fxp_cxp_package"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016632362"",""22016632362"")","Init Package:  SEM Block - Default Profiles","sw.smartnic_fxp_cxp_package"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016633136"",""22016633136"")","Document IMC Initialization Package","sw.ie_other_readmes-ipu"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016633243"",""22016633243"")","IPU SDK Layout - Init Package","sw.media_ipu_sdk"
"=HYPERLINK(""https://hsdes.intel.com/resource/22016689052"",""22016689052"")","Independent endpoint per vPort","sw.smartnic_linux_idpf"
