Name,Affected Component,HSD URL,Jama URL,Jama ID,id,Artifact Type,HSD ID
IPU Update - IPU SDK Layout,sw.media_ipu_sdk,https://hsdes.intel.com/resource/22016503460,https://hsdes.intel.com/resource/22016503460,22016503460,377231,ND SW Requirement,22016503460
IPU Fuse Configuration Utility - IPU SDK Layout,sw.media_ipu_sdk,https://hsdes.intel.com/resource/22016503463,https://hsdes.intel.com/resource/22016503463,22016503463,377232,ND SW Requirement,22016503463
Document Clara Peak,sw.ie_release_notes-ipu,https://hsdes.intel.com/resource/22016540712,https://hsdes.intel.com/resource/22016540712,22016540712,377233,ND SW Requirement,22016540712
"IPU Documentation - IPU ""How To"" Guide",sw.ie_user_guide-ipu,https://hsdes.intel.com/resource/22016568982,https://hsdes.intel.com/resource/22016568982,22016568982,377234,ND SW Requirement,22016568982
IPU Documentation - Getting Started Guide,sw.ie_user_guide-ipu,https://hsdes.intel.com/resource/22016569434,https://hsdes.intel.com/resource/22016569434,22016569434,377235,ND SW Requirement,22016569434
LAN ACC Performance Expectations - 2x100G,sw.smartnic_linux_idpf,https://hsdes.intel.com/resource/22016623403,https://hsdes.intel.com/resource/22016623403,22016623403,377236,ND SW Requirement,22016623403
Init Package:  CXP Parser - Protocol Headers,sw.smartnic_fxp_cxp_package,https://hsdes.intel.com/resource/22016632354,https://hsdes.intel.com/resource/22016632354,22016632354,377237,ND SW Requirement,22016632354
Init Package:  FXP Parser - Protocol Headers,sw.smartnic_fxp_cxp_package,https://hsdes.intel.com/resource/22016632355,https://hsdes.intel.com/resource/22016632355,22016632355,377238,ND SW Requirement,22016632355
Init Package:  Manageability,sw.smartnic_fxp_cxp_package,https://hsdes.intel.com/resource/22016632356,https://hsdes.intel.com/resource/22016632356,22016632356,377239,ND SW Requirement,22016632356
Init Package:  Default Configuration,sw.smartnic_fxp_cxp_package,https://hsdes.intel.com/resource/22016632357,https://hsdes.intel.com/resource/22016632357,22016632357,377240,ND SW Requirement,22016632357
Init Package:  VLAN Header Reporting,sw.smartnic_fxp_cxp_package,https://hsdes.intel.com/resource/22016632358,https://hsdes.intel.com/resource/22016632358,22016632358,377241,ND SW Requirement,22016632358
Init Package:  FXP Parser - PTYPES,sw.smartnic_fxp_cxp_package,https://hsdes.intel.com/resource/22016632360,https://hsdes.intel.com/resource/22016632360,22016632360,377242,ND SW Requirement,22016632360
Init Package:  FXP Parser - Error PTYPE,sw.smartnic_fxp_cxp_package,https://hsdes.intel.com/resource/22016632361,https://hsdes.intel.com/resource/22016632361,22016632361,377243,ND SW Requirement,22016632361
Init Package:  SEM Block - Default Profiles,sw.smartnic_fxp_cxp_package,https://hsdes.intel.com/resource/22016632362,https://hsdes.intel.com/resource/22016632362,22016632362,377244,ND SW Requirement,22016632362
Document IMC Initialization Package,sw.ie_other_readmes-ipu,https://hsdes.intel.com/resource/22016633136,https://hsdes.intel.com/resource/22016633136,22016633136,377245,ND SW Requirement,22016633136
IPU SDK Layout - Init Package,sw.media_ipu_sdk,https://hsdes.intel.com/resource/22016633243,https://hsdes.intel.com/resource/22016633243,22016633243,377246,ND SW Requirement,22016633243
Independent endpoint per vPort,sw.smartnic_linux_idpf,https://hsdes.intel.com/resource/22016689052,https://hsdes.intel.com/resource/22016689052,22016689052,,ND SW Requirement,22016689052
